,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,DNB,-,-,-,-,-,-,-,2,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
1,DNB,-,-,-,-,-,-,-,2,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
2,3,9,5,0,0,60.00,9,caught,1,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
3,4,14,6,1,0,66.66,10,bowled,1,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
4,DNB,-,-,-,-,-,-,-,2,,v England,Manchester,17 Jul 2022,ODI # 4433
5,1*,6,2,0,0,50.00,9,not out,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
6,1*,5,1,0,0,100.00,10,not out,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
7,DNB,-,-,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
8,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
9,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
10,DNB,-,-,-,-,-,-,-,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
11,DNB,-,-,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
12,DNB,-,-,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
13,9,33,20,1,0,45.00,10,caught,1,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
14,2,24,12,0,0,16.66,10,bowled,2,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
15,0*,2,2,0,0,0.00,10,not out,1,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
16,7*,7,8,0,0,87.50,9,not out,1,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
17,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
18,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
19,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
20,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
21,DNB,-,-,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
22,0,9,3,0,0,0.00,11,bowled,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
23,3*,8,5,0,0,60.00,11,not out,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
24,1*,2,1,0,0,100.00,11,not out,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
25,DNB,-,-,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
26,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
27,5*,32,19,0,0,26.31,11,not out,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
28,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
29,1,17,8,0,0,12.50,10,caught,2,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
30,DNB,-,-,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,ODI # 4662
31,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
32,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
33,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
34,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
35,DNB,-,-,-,-,-,-,-,1,,v England,Lucknow,29 Oct 2023,ODI # 4686
36,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
37,DNB,-,-,-,-,-,-,-,1,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
38,DNB,-,-,-,-,-,-,-,1,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
39,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
40,9*,13,8,1,0,112.50,11,not out,1,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
